simulation_time,TRadSet_degC,fcuLvlSet,V_flow_SupSet
12864060,20.594375,1,80.41
12864120,20.59291667,1,80.41
12864180,20.59145833,0,80.41
12864240,20.59,0,80.41
12864300,20.58854167,0,80.41
12864360,20.58708333,0,80.41
12864420,20.585625,0,80.41
12864480,20.58416667,0,80.41
12864540,20.58270833,0,80.41
12864600,20.58125,0,80.41
12864660,20.57979167,0,80.41
12864720,20.57833333,0,80.41
12864780,20.576875,1,80.41
12864840,20.57541667,1,80.41
12864900,20.57395833,1,80.41
12864960,20.5725,1,80.41
12865020,20.57104167,1,80.41
12865080,20.56958333,1,80.41
12865140,20.568125,1,80.41
12865200,20.56666667,1,80.41
12865260,20.56520833,1,80.41
12865320,20.56375,0,80.41
12865380,20.56229167,0,80.41
12865440,20.56083333,0,80.41
12865500,20.559375,0,80.41
12865560,20.55791667,0,80.41
12865620,20.55645833,0,80.41
12865680,20.555,0,80.41
12865740,20.55354167,0,80.41
12865800,20.55208333,0,80.41
12865860,20.550625,0,80.41
12865920,20.54916667,0,80.41
12865980,20.54770833,1,80.41
12866040,20.54625,1,80.41
12866100,20.54479167,1,80.41
12866160,20.54333333,1,80.41
12866220,20.541875,1,80.41
12866280,20.54041667,1,80.41
12866340,20.53895833,1,80.41
12866400,20.5375,1,80.41
12866460,20.53604167,0,80.41
12866520,20.53458333,0,80.41
12866580,20.533125,0,80.41
12866640,20.53166667,0,80.41
12866700,20.53020833,0,80.41
12866760,20.52875,0,80.41
12866820,20.52729167,0,80.41
12866880,20.52583333,0,80.41
12866940,20.524375,0,80.41
12867000,20.52291667,0,80.41
12867060,20.52145833,0,80.41
12867120,20.52,0,80.41
12867180,20.51854167,1,80.41
12867240,20.51708333,1,80.41
12867300,20.515625,1,80.41
12867360,20.51416667,1,80.41
12867420,20.51270833,1,80.41
12867480,20.51125,1,80.41
12867540,20.50979167,1,80.41
12867600,20.50833333,1,80.41
12867660,20.506875,0,80.41
12867720,20.50541667,0,80.41
12867780,20.50395833,0,80.41
12867840,20.5025,0,80.41
12867900,20.50104167,0,80.41
12867960,20.49958333,0,80.41
12868020,20.498125,0,80.41
12868080,20.49666667,0,80.41
12868140,20.49520833,0,80.41
12868200,20.49375,0,80.41
12868260,20.49229167,0,80.41
12868320,20.49083333,0,80.41
12868380,20.489375,0,80.41
12868440,20.48791667,1,80.41
12868500,20.48645833,1,80.41
12868560,20.485,1,80.41
12868620,20.48354167,1,80.41
12868680,20.48208333,1,80.41
12868740,20.480625,1,80.41
12868800,20.47916667,1,80.41
12868860,20.47770833,1,80.41
12868920,20.47625,0,80.41
12868980,20.47479167,0,80.41
12869040,20.47333333,0,80.41
12869100,20.471875,0,80.41
12869160,20.47041667,0,80.41
12869220,20.46895833,0,80.41
12869280,20.4675,0,80.41
12869340,20.46604167,0,80.41
12869400,20.46458333,0,80.41
12869460,20.463125,0,80.41
12869520,20.46166667,0,80.41
12869580,20.46020833,0,80.41
12869640,20.45875,0,80.41
12869700,20.45729167,0,80.41
12869760,20.45583333,1,80.41
12869820,20.454375,1,80.41
12869880,20.45291667,1,80.41
12869940,20.45145833,1,80.41
12870000,20.45,1,80.41
12870060,20.44851217,1,80.41
12870120,20.4469664,1,80.41
12870180,20.44536429,1,80.41
12870240,20.44370741,0,80.41
12870300,20.44199735,0,80.41
12870360,20.44023571,0,80.41
12870420,20.43842407,0,80.41
12870480,20.43656402,0,80.41
12870540,20.43465714,0,80.41
12870600,20.43270503,0,80.41
12870660,20.43070926,0,80.41
12870720,20.42867143,0,80.41
12870780,20.42659312,0,80.41
12870840,20.42447593,0,80.41
12870900,20.42232143,0,80.41
12870960,20.42013122,0,80.41
12871020,20.41790688,0,80.41
12871080,20.41565,1,80.41
12871140,20.41336217,1,80.41
12871200,20.41104497,1,80.41
12871260,20.4087,1,80.41
12871320,20.40632884,1,80.41
12871380,20.40393307,1,80.41
12871440,20.40151429,1,80.41
12871500,20.39907407,1,80.41
12871560,20.39661402,0,80.41
12871620,20.39413571,0,80.41
12871680,20.39164074,0,80.41
12871740,20.38913069,0,80.41
12871800,20.38660714,0,80.41
12871860,20.38407169,0,80.41
12871920,20.38152593,0,80.41
12871980,20.37897143,0,80.41
12872040,20.37640979,0,80.41
12872100,20.37384259,0,80.41
12872160,20.37127143,0,80.41
12872220,20.36869788,0,80.41
12872280,20.36612354,0,80.41
12872340,20.36355,1,80.41
12872400,20.36097884,1,80.41
12872460,20.35841164,1,80.41
12872520,20.35585,1,80.41
12872580,20.3532955,1,80.41
12872640,20.35074974,1,80.41
12872700,20.34821429,1,80.41
12872760,20.34569074,1,80.41
12872820,20.34318069,0,80.41
12872880,20.34068571,0,80.41
12872940,20.33820741,0,80.41
12873000,20.33574735,0,80.41
12873060,20.33330714,0,80.41
12873120,20.33088836,0,80.41
12873180,20.32849259,0,80.41
12873240,20.32612143,0,80.41
12873300,20.32377646,0,80.41
12873360,20.32145926,0,80.41
12873420,20.31917143,0,80.41
12873480,20.31691455,0,80.41
12873540,20.31469021,1,80.41
12873600,20.3125,1,80.41
12873660,20.31032863,1,80.41
12873720,20.30815976,1,80.41
12873780,20.30599342,1,80.41
12873840,20.30382963,1,80.41
12873900,20.30166842,1,80.41
12873960,20.29950982,1,80.41
12874020,20.29735385,0,80.41
12874080,20.29520053,0,80.41
12874140,20.29304989,0,80.41
12874200,20.29090195,0,80.41
12874260,20.28875674,0,80.41
12874320,20.28661429,0,80.41
12874380,20.28447461,0,80.41
12874440,20.28233773,0,80.41
12874500,20.28020368,0,80.41
12874560,20.27807249,0,80.41
12874620,20.27594417,0,80.41
12874680,20.27381875,0,80.41
12874740,20.27169626,1,80.41
12874800,20.26957672,1,80.41
12874860,20.26746016,1,80.41
12874920,20.26534659,1,80.41
12874980,20.26323606,1,80.41
12875040,20.26112857,1,80.41
12875100,20.25902416,1,80.41
12875160,20.25692285,1,80.41
12875220,20.25482467,0,80.41
12875280,20.25272963,0,80.41
12875340,20.25063777,0,80.41
12875400,20.24854911,0,80.41
12875460,20.24646367,0,80.41
12875520,20.24438148,0,80.41
12875580,20.24230257,0,80.41
12875640,20.24022695,0,80.41
12875700,20.23815466,0,80.41
12875760,20.23608571,0,80.41
12875820,20.23402014,0,80.41
12875880,20.23195797,0,80.41
12875940,20.22989922,1,80.41
12876000,20.22784392,1,80.41
12876060,20.22579208,1,80.41
12876120,20.22374375,1,80.41
12876180,20.22169894,1,80.41
12876240,20.21965767,1,80.41
12876300,20.21761998,1,80.41
12876360,20.21558588,1,80.41
12876420,20.2135554,0,80.41
12876480,20.21152857,0,80.41
12876540,20.20950541,0,80.41
12876600,20.20748595,0,80.41
12876660,20.2054702,0,80.41
12876720,20.2034582,0,80.41
12876780,20.20144997,0,80.41
12876840,20.19944554,0,80.41
12876900,20.19744492,0,80.41
12876960,20.19544815,0,80.41
12877020,20.19345525,0,80.41
12877080,20.19146624,0,80.41
12877140,20.18948115,1,80.41
12877200,20.1875,1,80.41
12877260,20.18552951,1,80.41
12877320,20.18357639,1,80.41
12877380,20.18164063,1,80.41
12877440,20.17972222,1,80.41
12877500,20.17782118,1,80.41
12877560,20.1759375,1,80.41
12877620,20.17407118,1,80.41
12877680,20.17222222,0,80.41
12877740,20.17039062,0,80.41
12877800,20.16857639,0,80.41
12877860,20.16677951,0,80.41
12877920,20.165,0,80.41
12877980,20.16323785,0,80.41
12878040,20.16149306,0,80.41
12878100,20.15976563,0,80.41
12878160,20.15805556,0,80.41
12878220,20.15636285,0,80.41
12878280,20.1546875,0,80.41
12878340,20.15302951,0,80.41
12878400,20.15138889,1,80.41
12878460,20.14976563,1,80.41
12878520,20.14815972,1,80.41
12878580,20.14657118,1,80.41
12878640,20.145,1,80.41
12878700,20.14344618,1,80.41
12878760,20.14190972,1,80.41
12878820,20.14039062,1,80.41
12878880,20.13888889,0,80.41
12878940,20.13740451,0,80.41
12879000,20.1359375,0,80.41
12879060,20.13448785,0,80.41
12879120,20.13305556,0,80.41
12879180,20.13164063,0,80.41
12879240,20.13024306,0,80.41
12879300,20.12886285,0,80.41
12879360,20.1275,0,80.41
12879420,20.12615451,0,80.41
12879480,20.12482639,0,80.41
12879540,20.12351562,0,80.41
12879600,20.12222222,1,80.41
12879660,20.12094618,1,80.41
12879720,20.1196875,1,80.41
12879780,20.11844618,1,80.41
12879840,20.11722222,1,80.41
12879900,20.11601563,1,80.41
12879960,20.11482639,1,80.41
12880020,20.11365451,1,80.41
12880080,20.1125,0,80.41
12880140,20.11136285,0,80.41
12880200,20.11024306,0,80.41
12880260,20.10914062,0,80.41
12880320,20.10805556,0,80.41
12880380,20.10698785,0,80.41
12880440,20.1059375,0,80.41
12880500,20.10490451,0,80.41
12880560,20.10388889,0,80.41
12880620,20.10289063,0,80.41
12880680,20.10190972,0,80.41
12880740,20.10094618,0,80.41
12880800,20.1,0,80.41
12880860,20.09907331,1,80.41
12880920,20.09816811,1,80.41
12880980,20.09728418,1,80.41
12881040,20.0964213,1,80.41
12881100,20.09557925,1,80.41
12881160,20.09475781,1,80.41
12881220,20.09395678,1,80.41
12881280,20.09317593,1,80.41
12881340,20.09241504,0,80.41
12881400,20.0916739,0,80.41
12881460,20.09095229,0,80.41
12881520,20.09025,0,80.41
12881580,20.0895668,0,80.41
12881640,20.08890249,0,80.41
12881700,20.08825684,0,80.41
12881760,20.08762963,0,80.41
12881820,20.08702065,0,80.41
12881880,20.08642969,0,80.41
12881940,20.08585652,0,80.41
12882000,20.08530093,0,80.41
12882060,20.0847627,0,80.41
12882120,20.08424161,1,80.41
12882180,20.08373745,1,80.41
12882240,20.08325,1,80.41
12882300,20.08277904,1,80.41
12882360,20.08232436,1,80.41
12882420,20.08188574,1,80.41
12882480,20.08146296,1,80.41
12882540,20.08105581,1,80.41
12882600,20.08066406,0,80.41
12882660,20.08028751,0,80.41
12882720,20.07992593,0,80.41
12882780,20.0795791,0,80.41
12882840,20.07924682,0,80.41
12882900,20.07892886,0,80.41
12882960,20.078625,0,80.41
12883020,20.07833503,0,80.41
12883080,20.07805874,0,80.41
12883140,20.0777959,0,80.41
12883200,20.0775463,0,80.41
12883260,20.07730971,0,80.41
12883320,20.07708594,0,80.41
12883380,20.07687475,0,80.41
12883440,20.07667593,1,80.41
12883500,20.07648926,1,80.41
12883560,20.07631453,1,80.41
12883620,20.07615151,1,80.41
12883680,20.076,1,80.41
12883740,20.07585977,1,80.41
12883800,20.07573061,1,80.41
12883860,20.0756123,1,80.41
12883920,20.07550463,0,80.41
12883980,20.07540737,0,80.41
12884040,20.07532031,0,80.41
12884100,20.07524324,0,80.41
12884160,20.07517593,0,80.41
12884220,20.07511816,0,80.41
12884280,20.07506973,0,80.41
12884340,20.07503042,0,80.41
12884400,20.075,0,80.41
12884460,20.07497732,0,80.41
12884520,20.07496138,0,80.41
12884580,20.07495226,0,80.41
12884640,20.07495,0,80.41
12884700,20.07495466,0,80.41
12884760,20.07496629,0,80.41
12884820,20.07498496,1,80.41
12884880,20.07501071,1,80.41
12884940,20.07504361,1,80.41
12885000,20.07508371,1,80.41
12885060,20.07513105,1,80.41
12885120,20.07518571,1,80.41
12885180,20.07524774,1,80.41
12885240,20.07531719,1,80.41
12885300,20.07539411,0,80.41
12885360,20.07547857,0,80.41
12885420,20.07557062,0,80.41
12885480,20.07567031,0,80.41
12885540,20.07577771,0,80.41
12885600,20.07589286,0,80.41
12885660,20.07601582,0,80.41
12885720,20.07614665,0,80.41
12885780,20.07628541,0,80.41
12885840,20.07643214,0,80.41
12885900,20.07658691,0,80.41
12885960,20.07674978,0,80.41
12886020,20.07692079,0,80.41
12886080,20.0771,0,80.41
12886140,20.07728747,0,80.41
12886200,20.07748326,0,80.41
12886260,20.07768742,1,80.41
12886320,20.0779,1,80.41
12886380,20.07812107,1,80.41
12886440,20.07835067,1,80.41
12886500,20.07858887,1,80.41
12886560,20.07883571,1,80.41
12886620,20.07909127,1,80.41
12886680,20.07935558,1,80.41
12886740,20.07962871,0,80.41
12886800,20.07991071,0,80.41
12886860,20.08020165,0,80.41
12886920,20.08050156,0,80.41
12886980,20.08081052,0,80.41
12887040,20.08112857,0,80.41
12887100,20.08145578,0,80.41
12887160,20.08179219,0,80.41
12887220,20.08213786,0,80.41
12887280,20.08249286,0,80.41
12887340,20.08285723,0,80.41
12887400,20.08323103,0,80.41
12887460,20.08361431,0,80.41
12887520,20.08400714,0,80.41
12887580,20.08440957,0,80.41
12887640,20.08482165,0,80.41
12887700,20.08524344,0,80.41
12887760,20.085675,0,80.41
12887820,20.08611638,0,80.41
12887880,20.08656763,1,80.41
12887940,20.08702882,1,80.41
12888000,20.0875,1,80.41
12888060,20.08799115,1,80.41
12888120,20.0885116,1,80.41
12888180,20.08906044,1,80.41
12888240,20.08963675,1,80.41
12888300,20.09023962,0,80.41
12888360,20.09086813,0,80.41
12888420,20.09152137,0,80.41
12888480,20.09219841,0,80.41
12888540,20.09289835,0,80.41
12888600,20.09362027,0,80.41
12888660,20.09436325,0,80.41
12888720,20.09512637,0,80.41
12888780,20.09590873,0,80.41
12888840,20.0967094,0,80.41
12888900,20.09752747,0,80.41
12888960,20.09836203,0,80.41
12889020,20.09921215,0,80.41
12889080,20.10007692,0,80.41
12889140,20.10095543,0,80.41
12889200,20.10184676,0,80.41
12889260,20.10275,0,80.41
12889320,20.10366422,0,80.41
12889380,20.10458852,0,80.41
12889440,20.10552198,0,80.41
12889500,20.10646368,0,80.41
12889560,20.1074127,0,80.41
12889620,20.10836813,0,80.41
12889680,20.10932906,0,80.41
12889740,20.11029457,0,80.41
12889800,20.11126374,0,80.41
12889860,20.11223565,0,80.41
12889920,20.1132094,1,80.41
12889980,20.11418407,1,80.41
12890040,20.11515873,1,80.41
12890100,20.11613248,1,80.41
12890160,20.1171044,1,80.41
12890220,20.11807357,1,80.41
12890280,20.11903907,1,80.41
12890340,20.12,0,80.41
12890400,20.12095543,0,80.41
12890460,20.12190446,0,80.41
12890520,20.12284615,0,80.41
12890580,20.12377961,0,80.41
12890640,20.12470391,0,80.41
12890700,20.12561813,0,80.41
12890760,20.12652137,0,80.41
12890820,20.1274127,0,80.41
12890880,20.12829121,0,80.41
12890940,20.12915598,0,80.41
12891000,20.13000611,0,80.41
12891060,20.13084066,0,80.41
12891120,20.13165873,0,80.41
12891180,20.1324594,0,80.41
12891240,20.13324176,0,80.41
12891300,20.13400488,0,80.41
12891360,20.13474786,0,80.41
12891420,20.13546978,0,80.41
12891480,20.13616972,0,80.41
12891540,20.13684676,0,80.41
12891600,20.1375,0,80.41
12891660,20.13814715,0,80.41
12891720,20.13880541,0,80.41
12891780,20.13947308,0,80.41
12891840,20.14014843,0,80.41
12891900,20.14082977,0,80.41
12891960,20.14151538,0,80.41
12892020,20.14220356,0,80.41
12892080,20.14289259,0,80.41
12892140,20.14358077,0,80.41
12892200,20.14426638,0,80.41
12892260,20.14494772,0,80.41
12892320,20.14562308,0,80.41
12892380,20.14629074,0,80.41
12892440,20.146949,0,80.41
12892500,20.14759615,0,80.41
12892560,20.14823048,0,80.41
12892620,20.14885028,0,80.41
12892680,20.14945385,0,80.41
12892740,20.15003946,0,80.41
12892800,20.15060541,0,80.41
12892860,20.15115,0,80.41
12892920,20.15167151,0,80.41
12892980,20.15216823,0,80.41
12893040,20.15263846,0,80.41
12893100,20.15308048,0,80.41
12893160,20.15349259,0,80.41
12893220,20.15387308,0,80.41
12893280,20.15422023,0,80.41
12893340,20.15453234,0,80.41
12893400,20.15480769,0,80.41
12893460,20.15504459,0,80.41
12893520,20.15524131,0,80.41
12893580,20.15539615,0,80.41
12893640,20.15550741,0,80.41
12893700,20.15557336,0,80.41
12893760,20.15559231,0,80.41
12893820,20.15556254,0,80.41
12893880,20.15548234,0,80.41
12893940,20.15535,0,80.41
12894000,20.15516382,0,80.41
12894060,20.15492208,0,80.41
12894120,20.15462308,0,80.41
12894180,20.1542651,0,80.41
12894240,20.15384644,0,80.41
12894300,20.15336538,0,80.41
12894360,20.15282023,0,80.41
12894420,20.15220926,1,80.41
12894480,20.15153077,1,80.41
12894540,20.15078305,1,80.41
12894600,20.14996439,1,80.41
12894660,20.14907308,1,80.41
12894720,20.14810741,1,80.41
12894780,20.14706567,1,80.41
12894840,20.14594615,0,80.41
12894900,20.14474715,0,80.41
12894960,20.14346695,0,80.41
12895020,20.14210385,0,80.41
12895080,20.14065613,0,80.41
12895140,20.13912208,0,80.41
12895200,20.1375,0,80.41
12895260,20.13582169,0,80.41
12895320,20.13412043,0,80.41
12895380,20.13239668,0,80.41
12895440,20.13065093,0,80.41
12895500,20.12888364,0,80.41
12895560,20.12709531,0,80.41
12895620,20.12528641,0,80.41
12895680,20.12345741,0,80.41
12895740,20.12160879,0,80.41
12895800,20.11974103,0,80.41
12895860,20.11785461,0,80.41
12895920,20.11595,0,80.41
12895980,20.11402768,0,80.41
12896040,20.11208814,1,80.41
12896100,20.11013184,1,80.41
12896160,20.10815926,1,80.41
12896220,20.10617088,1,80.41
12896280,20.10416719,1,80.41
12896340,20.10214865,1,80.41
12896400,20.10011574,1,80.41
12896460,20.09806895,1,80.41
12896520,20.09600874,0,80.41
12896580,20.0939356,0,80.41
12896640,20.09185,0,80.41
12896700,20.08975242,0,80.41
12896760,20.08764334,0,80.41
12896820,20.08552324,0,80.41
12896880,20.08339259,0,80.41
12896940,20.08125187,0,80.41
12897000,20.07910156,0,80.41
12897060,20.07694214,0,80.41
12897120,20.07477407,0,80.41
12897180,20.07259785,0,80.41
12897240,20.07041395,0,80.41
12897300,20.06822284,0,80.41
12897360,20.066025,1,80.41
12897420,20.06382091,1,80.41
12897480,20.06161105,1,80.41
12897540,20.0593959,1,80.41
12897600,20.05717593,1,80.41
12897660,20.05495161,1,80.41
12897720,20.05272344,1,80.41
12897780,20.05049188,1,80.41
12897840,20.04825741,0,80.41
12897900,20.04602051,0,80.41
12897960,20.04378166,0,80.41
12898020,20.04154133,0,80.41
12898080,20.0393,0,80.41
12898140,20.03705815,0,80.41
12898200,20.03481626,0,80.41
12898260,20.0325748,0,80.41
12898320,20.03033426,0,80.41
12898380,20.0280951,0,80.41
12898440,20.02585781,0,80.41
12898500,20.02362287,0,80.41
12898560,20.02139074,1,80.41
12898620,20.01916191,1,80.41
12898680,20.01693686,1,80.41
12898740,20.01471607,1,80.41
12898800,20.0125,1,80.41
12898860,20.0102826,1,80.41
12898920,20.00805764,1,80.41
12898980,20.00582539,1,80.41
12899040,20.00358611,1,80.41
12899100,20.00134006,0,80.41
12899160,20.0,0,80.41
12899220,20.0,0,80.41
12899280,20.0,0,80.41
12899340,20.0,0,80.41
12899400,20.0,0,80.41
12899460,20.0,0,80.41
12899520,20.0,0,80.41
12899580,20.0,0,80.41
12899640,20.0,0,80.41
12899700,20.0,0,80.41
12899760,20.0,1,80.41
12899820,20.0,1,80.41
12899880,20.0,1,80.41
12899940,20.0,1,80.41
12900000,20.0,1,80.41
12900060,20.0,1,80.41
12900120,20.0,1,80.41
12900180,20.0,1,80.41
12900240,20.0,1,80.41
12900300,20.0,0,80.41
12900360,20.0,0,80.41
12900420,20.0,0,80.41
12900480,20.0,0,80.41
12900540,20.0,0,80.41
12900600,20.0,0,80.41
12900660,20.0,0,80.41
12900720,20.0,0,80.41
12900780,20.0,0,80.41
12900840,20.0,0,80.41
12900900,20.0,0,80.41
12900960,20.0,1,80.41
12901020,20.0,1,80.41
12901080,20.0,1,80.41
12901140,20.0,1,80.41
12901200,20.0,1,80.41
12901260,20.0,1,80.41
12901320,20.0,1,80.41
12901380,20.0,1,80.41
12901440,20.0,1,80.41
12901500,20.0,0,80.41
12901560,20.0,0,80.41
12901620,20.0,0,80.41
12901680,20.0,0,80.41
12901740,20.0,0,80.41
12901800,20.0,0,80.41
12901860,20.0,0,80.41
12901920,20.0,0,80.41
12901980,20.0,0,80.41
12902040,20.0,0,80.41
12902100,20.0,0,80.41
12902160,20.0,1,80.41
12902220,20.0,1,80.41
12902280,20.0,1,80.41
12902340,20.0,1,80.41
12902400,20.0,1,80.41
12902460,20.0,1,80.41
12902520,20.0,1,80.41
12902580,20.0,1,80.41
12902640,20.0,1,80.41
12902700,20.0,0,80.41
12902760,20.0,0,80.41
12902820,20.0,0,80.41
12902880,20.0,0,80.41
12902940,20.0,0,80.41
12903000,20.0,0,80.41
12903060,20.0,0,80.41
12903120,20.0,0,80.41
12903180,20.0,0,80.41
12903240,20.0,0,80.41
12903300,20.0,0,80.41
12903360,20.0,1,80.41
12903420,20.0,1,80.41
12903480,20.0,1,80.41
12903540,20.0,1,80.41
12903600,20.0,1,80.41
12903660,20.0,1,80.41
12903720,20.0,1,80.41
12903780,20.0,1,80.41
12903840,20.0,1,80.41
12903900,20.0,0,80.41
12903960,20.0,0,80.41
12904020,20.0,0,80.41
